date,time,brightness,altitude,azimuth,satellite,distance to flare centre,brightness at flare centre,sun altitude,city,country,latitude,longitude,
Mar 6, 18:05:50,-7.6,43°,170° (S),Iridium 41,4 km (W),-7.9,-14°,Kinshasa,Congo,4.3,15.28,
Mar 7, 17:19:27,-9.0,54°,187° (S),Iridium 82,2 km (W),-9.1,-3°,Kinshasa,Congo,4.3,15.28,
Mar 7, 17:44:41,0.2,48°,181° (S),Iridium 39,36 km (W),-8.1,-9°,Kinshasa,Congo,4.3,15.28,
Mar 7, 18:00:14,-2.3,44°,169° (S),Iridium 15,17 km (E),-8.0,-13°,Kinshasa,Congo,4.3,15.28,
Mar 10, 03:53:00,-3.0,37°,350° (N),Iridium 52,16 km (W),-7.7,-19°,Kinshasa,Congo,4.3,15.28,
Mar 10, 17:46:56,-0.4,49°,178° (S),Iridium 15,31 km (W),-8.0,-10°,Kinshasa,Congo,4.3,15.28,
Mar 11, 03:47:04,-2.8,35°,349° (N),Iridium 10,17 km (W),-7.6,-21°,Kinshasa,Congo,4.3,15.28,
Mar 12, 03:41:07,-1.1,34°,351° (N),Iridium 13,26 km (E),-7.6,-22°,Kinshasa,Congo,4.3,15.28,
Mar 12, 17:18:01,-5.9,54°,187° (S),Iridium 39,6 km (W),-8.2,-3°,Kinshasa,Congo,4.3,15.28,
Mar 6, 22:26:35,-5.2,40°,356° (N),Iridium 86,7 km (E),-7.8,-16°,Bangkok,Thailand,13.75,100.5,
Mar 7, 12:19:02,-2.7,46°,169° (SSE),Iridium 98,17 km (W),-8.0,-13°,Bangkok,Thailand,13.75,100.5,
Mar 12, 21:55:20,1.0,29°,357° (N),Iridium 90,51 km (E),-7.3,-23°,Bangkok,Thailand,13.75,100.5,
Mar 8, 01:11:14,-0.4,33°,6° (N),Iridium 83,33 km (E),-7.4,-16°,Buenos Aires,Argentina,34.58,58.37,
Mar 10, 00:59:24,-0.9,28°,6° (N),Iridium 84,29 km (E),-7.1,-18°,Buenos Aires,Argentina,34.58,58.37,
Mar 11, 00:53:33,0.2,26°,7° (N),Iridium 12,42 km (E),-7.0,-19°,Buenos Aires,Argentina,34.58,58.37,
Mar 12, 00:47:42,-4.5,24°,5° (N),Iridium 86,10 km (E),-6.9,-20°,Buenos Aires,Argentina,34.58,58.37,
Mar 6, 17:53:41,-5.1,45°,165° (SSE),Iridium 98,7 km (E),-8.0,-14°,Dakar,Senegal,14.67,17.47,
Mar 7, 17:48:08,-2.0,46°,166° (SSE),Iridium 18,19 km (E),-8.1,-13°,Dakar,Senegal,14.67,17.47,
Mar 10, 17:34:51,-2.1,51°,175° (S),Iridium 18,18 km (W),-8.1,-9°,Dakar,Senegal,14.67,17.47,
Mar 12, 03:35:11,0.6,29°,353° (N),Iridium 12,47 km (W),-7.4,-21°,Dakar,Senegal,14.67,17.47,
Mar 8, 04:54:25,0.6,30°,12° (NNE),Iridium 90,44 km (E),-7.2,-15°,Paris,France,48.8,2.33,
Mar 9, 04:48:40,0.9,28°,12° (NNE),Iridium 53,51 km (E),-7.0,-15°,Paris,France,48.8,2.33,
Mar 10, 04:42:51,-0.1,26°,12° (NNE),Iridium 54,39 km (E),-6.9,-16°,Paris,France,48.8,2.33,
Mar 11, 04:36:51,-6.7,25°,11° (N),Iridium 83,6 km (W),-6.8,-17°,Paris,France,48.8,2.33,
Mar 11, 18:17:16,-5.1,57°,173° (S),Iridium 98,7 km (W),-8.2,-5°,Paris,France,48.8,2.33,
Mar 11, 20:27:32,-1.5,9°,3° (N),Iridium 70,66 km (E),-5.8,-26°,Paris,France,48.8,2.33,
Mar 12, 04:31:04,-5.5,23°,12° (NNE),Iridium 56,9 km (E),-6.7,-17°,Paris,France,48.8,2.33,
Mar 12, 20:21:06,-0.9,11°,3° (N),Iridium 64,45 km (W),-6.0,-25°,Paris,France,48.8,2.33,
Mar 9, 01:06:07,-5.3,38°,353° (N),Iridium 52,7 km (E),-7.7,-18°,Georgetown,Guyana,6.75,58.25,
Mar 10, 01:00:11,-7.5,36°,352° (N),Iridium 10,3 km (E),-7.7,-20°,Georgetown,Guyana,6.75,58.25,
Mar 11, 00:54:15,0.6,35°,354° (N),Iridium 13,44 km (E),-7.6,-21°,Georgetown,Guyana,6.75,58.25,
Mar 11, 00:56:43,0.3,34°,348° (NNW),Iridium 90,42 km (W),-7.7,-20°,Georgetown,Guyana,6.75,58.25,
Mar 12, 14:43:59,-5.0,51°,178° (S),Iridium 41,8 km (W),-8.0,-7°,Georgetown,Guyana,6.75,58.25,
Mar 8, 17:19:49,-2.1,56°,166° (SSE),Iridium 81,18 km (W),-8.3,-9°,Belgrade,Serbia,44.87,20.53,
Mar 10, 03:29:42,0.0,27°,10° (N),Iridium 90,39 km (E),-7.0,-17°,Belgrade,Serbia,44.87,20.53,
Mar 10, 17:11:24,-3.8,56°,170° (S),Iridium 98,11 km (W),-8.2,-7°,Belgrade,Serbia,44.87,20.53,
Mar 11, 03:52:35,-6.5,39°,10° (N),Iridium 40,7 km (E),-9.0,-12°,Belgrade,Serbia,44.87,20.53,
Mar 11, 19:03:42,-0.5,12°,5° (N),Iridium 14,54 km (E),-6.1,-26°,Belgrade,Serbia,44.87,20.53,
Mar 12, 03:16:51,-3.9,22°,10° (N),Iridium 84,13 km (E),-6.7,-18°,Belgrade,Serbia,44.87,20.53,
Mar 12, 18:57:07,-4.4,15°,5° (N),Iridium 66,12 km (E),-6.3,-25°,Belgrade,Serbia,44.87,20.53,
Mar 13, 03:11:00,-6.6,21°,10° (N),Iridium 12,1 km (E),-6.6,-19°,Belgrade,Serbia,44.87,20.53,
Mar 6, 13:31:35,-8.0,47°,176° (S),Iridium 39,3 km (W),-8.1,-10°,Guayaquil,Ecuador,2.17,79.93,
Mar 6, 13:47:21,-0.6,42°,168° (SSE),Iridium 81,30 km (E),-7.9,-14°,Guayaquil,Ecuador,2.17,79.93,
Mar 8, 13:38:28,-4.4,45°,171° (S),Iridium 41,8 km (E),-7.9,-12°,Guayaquil,Ecuador,2.17,79.93,
Mar 9, 12:51:27,-7.6,55°,191° (S),Iridium 82,1 km (E),-9.0,0°,Guayaquil,Ecuador,2.17,79.93,
Mar 9, 13:34:01,-2.1,47°,175° (S),Iridium 81,18 km (W),-8.0,-11°,Guayaquil,Ecuador,2.17,79.93,
Mar 11, 23:24:42,-7.5,35°,349° (N),Iridium 52,2 km (E),-7.6,-21°,Guayaquil,Ecuador,2.17,79.93,
Mar 12, 23:18:47,-7.2,32°,348° (NNW),Iridium 10,4 km (E),-7.5,-23°,Guayaquil,Ecuador,2.17,79.93,
Mar 7, 03:13:54,-2.6,33°,14° (NNE),Iridium 12,17 km (W),-7.2,-12°,St. Petersburg,Russia,59.93,30.3,
Mar 9, 03:02:00,-0.4,30°,14° (NNE),Iridium 52,35 km (W),-7.1,-12°,St. Petersburg,Russia,59.93,30.3,
Mar 9, 04:17:32,-5.6,23°,63° (ENE),Iridium 67,16 km (W),-6.1,-3°,St. Petersburg,Russia,59.93,30.3,
Mar 10, 02:47:10,-0.6,25°,16° (NNE),Iridium 84,36 km (E),-6.7,-14°,St. Petersburg,Russia,59.93,30.3,
Mar 10, 04:02:07,-5.9,20°,60° (ENE),Iridium 21,1 km (E),-5.9,-4°,St. Petersburg,Russia,59.93,30.3,
Mar 11, 02:41:13,-3.2,24°,16° (NNE),Iridium 12,16 km (E),-6.7,-14°,St. Petersburg,Russia,59.93,30.3,
Mar 11, 03:37:21,-1.1,16°,54° (NE),Iridium 72,78 km (E),-5.6,-7°,St. Petersburg,Russia,59.93,30.3,
Mar 11, 03:46:41,-5.6,18°,57° (ENE),Iridium 75,8 km (E),-5.7,-6°,St. Petersburg,Russia,59.93,30.3,
Mar 11, 19:08:38,0.8,9°,3° (N),Iridium 14,81 km (E),-5.6,-24°,St. Petersburg,Russia,59.93,30.3,
Mar 12, 02:35:16,-0.2,23°,15° (NNE),Iridium 86,46 km (W),-6.6,-14°,St. Petersburg,Russia,59.93,30.3,
Mar 12, 03:12:27,0.7,13°,48° (NE),Iridium 75,166 km (E),-5.4,-10°,St. Petersburg,Russia,59.93,30.3,
Mar 12, 03:21:51,-1.1,14°,51° (NE),Iridium 70,89 km (E),-5.5,-9°,St. Petersburg,Russia,59.93,30.3,
Mar 12, 03:31:17,-1.4,16°,54° (NE),Iridium 62,80 km (W),-5.6,-8°,St. Petersburg,Russia,59.93,30.3,
Mar 12, 18:52:47,-2.9,12°,3° (N),Iridium 65,30 km (E),-5.9,-22°,St. Petersburg,Russia,59.93,30.3,
Mar 12, 19:02:35,0.8,8°,3° (N),Iridium 66,101 km (W),-5.6,-23°,St. Petersburg,Russia,59.93,30.3,
Mar 13, 02:29:22,-1.0,22°,15° (NNE),Iridium 52,38 km (W),-6.5,-15°,St. Petersburg,Russia,59.93,30.3,
Mar 13, 02:57:00,-5.3,11°,46° (NE),Iridium 62,0 km (E),-5.3,-11°,St. Petersburg,Russia,59.93,30.3,
Mar 13, 03:06:24,-2.0,13°,48° (NE),Iridium 14,85 km (W),-5.4,-10°,St. Petersburg,Russia,59.93,30.3,
Mar 13, 03:15:48,0.6,14°,51° (NE),Iridium 64,188 km (W),-5.5,-9°,St. Petersburg,Russia,59.93,30.3,
Mar 7, 09:17:40,-1.0,53°,174° (S),Iridium 39,25 km (W),-8.3,-8°,Tokyo,Japan,35.67,139.75,
Mar 9, 09:25:12,-1.8,54°,169° (SSE),Iridium 98,21 km (W),-8.2,-9°,Tokyo,Japan,35.67,139.75,
Mar 9, 19:39:54,0.2,31°,3° (N),Iridium 52,41 km (W),-7.3,-17°,Tokyo,Japan,35.67,139.75,
Mar 10, 09:17:11,1.0,53°,164° (SSE),Iridium 15,45 km (E),-8.2,-8°,Tokyo,Japan,35.67,139.75,
Mar 10, 11:03:40,-3.0,9°,7° (N),Iridium 62,15 km (E),-5.9,-29°,Tokyo,Japan,35.67,139.75,
Mar 11, 10:56:48,-6.3,13°,8° (N),Iridium 65,1 km (E),-6.3,-27°,Tokyo,Japan,35.67,139.75,
Mar 11, 19:23:59,-1.0,25°,6° (N),Iridium 90,29 km (E),-7.0,-20°,Tokyo,Japan,35.67,139.75,
Mar 12, 10:50:16,-0.1,16°,10° (N),Iridium 68,42 km (E),-6.5,-26°,Tokyo,Japan,35.67,139.75,
Mar 12, 19:22:18,0.7,24°,4° (N),Iridium 50,53 km (W),-6.9,-20°,Tokyo,Japan,35.67,139.75,
Mar 8, 05:01:56,-2.5,44°,11° (N),Iridium 40,10 km (W),-9.3,-9°,Bremen,Germany,53.08,8.82,
Mar 9, 04:22:29,0.7,28°,14° (NNE),Iridium 50,49 km (E),-6.9,-14°,Bremen,Germany,53.08,8.82,
Mar 9, 17:40:17,-5.4,56°,176° (S),Iridium 39,6 km (E),-8.3,-4°,Bremen,Germany,53.08,8.82,
Mar 10, 04:16:33,-0.8,26°,14° (NNE),Iridium 53,32 km (E),-6.9,-15°,Bremen,Germany,53.08,8.82,
Mar 10, 04:48:03,-3.8,40°,14° (NNE),Iridium 40,12 km (E),-9.0,-10°,Bremen,Germany,53.08,8.82,
Mar 11, 04:10:43,-4.0,25°,13° (NNE),Iridium 54,12 km (E),-6.8,-16°,Bremen,Germany,53.08,8.82,
Mar 11, 05:38:58,-5.3,17°,70° (ENE),Iridium 70,8 km (W),-5.4,-2°,Bremen,Germany,53.08,8.82,
Mar 11, 20:10:24,-1.0,9°,2° (N),Iridium 72,39 km (E),-5.8,-25°,Bremen,Germany,53.08,8.82,
Mar 12, 04:04:43,-0.2,24°,12° (NNE),Iridium 83,44 km (W),-6.7,-16°,Bremen,Germany,53.08,8.82,
Mar 12, 04:33:52,0.4,35°,16° (NNE),Iridium 40,35 km (E),-8.6,-12°,Bremen,Germany,53.08,8.82,
Mar 12, 05:14:14,-4.0,13°,65° (ENE),Iridium 62,41 km (E),-5.1,-6°,Bremen,Germany,53.08,8.82,
Mar 12, 20:04:12,-1.6,10°,2° (N),Iridium 62,41 km (W),-5.9,-24°,Bremen,Germany,53.08,8.82,
Mar 13, 03:58:54,-0.5,22°,13° (NNE),Iridium 56,42 km (W),-6.6,-16°,Bremen,Germany,53.08,8.82,
Mar 13, 04:58:45,-4.1,11°,62° (ENE),Iridium 64,56 km (W),-5.0,-8°,Bremen,Germany,53.08,8.82,
Mar 6, 15:10:12,0.8,47°,179° (S),Iridium 39,42 km (W),-8.1,-10°,Paramaribo,Suriname,5.75,55.25,
Mar 6, 15:26:26,-1.0,44°,171° (S),Iridium 81,27 km (W),-7.9,-14°,Paramaribo,Suriname,5.75,55.25,
Mar 7, 01:26:54,-2.3,42°,355° (N),Iridium 13,17 km (E),-7.9,-16°,Paramaribo,Suriname,5.75,55.25,
Mar 8, 01:22:07,-6.2,40°,352° (N),Iridium 90,6 km (W),-7.9,-17°,Paramaribo,Suriname,5.75,55.25,
Mar 10, 01:30:50,-6.1,48°,355° (N),Iridium 40,2 km (W),-10.1,-15°,Paramaribo,Suriname,5.75,55.25,
Mar 11, 14:43:32,-4.8,53°,185° (S),Iridium 39,8 km (W),-8.2,-4°,Paramaribo,Suriname,5.75,55.25,
Mar 6, 22:03:53,0.8,36°,5° (N),Iridium 12,45 km (E),-7.5,-16°,Chongqing,China,29.77,106.57,
Mar 7, 21:57:58,-0.9,34°,4° (N),Iridium 86,27 km (E),-7.4,-17°,Chongqing,China,29.77,106.57,
Mar 9, 11:36:49,0.5,51°,164° (SSE),Iridium 15,39 km (E),-8.2,-9°,Chongqing,China,29.77,106.57,
Mar 10, 21:43:49,-5.2,29°,2° (N),Iridium 90,8 km (W),-7.3,-19°,Chongqing,China,29.77,106.57,
Mar 11, 13:02:34,-2.1,15°,12° (NNE),Iridium 68,24 km (E),-6.5,-27°,Chongqing,China,29.77,106.57,
Mar 9, 06:27:13,-5.7,21°,71° (ENE),Iridium 72,9 km (W),-5.8,0°,Newcastle-on-Tyne,England,54.97,1.62,
Mar 10, 04:44:36,-0.1,26°,14° (NNE),Iridium 54,40 km (E),-6.8,-15°,Newcastle-on-Tyne,England,54.97,1.62,
Mar 11, 04:38:35,-4.6,25°,13° (NNE),Iridium 83,11 km (W),-6.8,-15°,Newcastle-on-Tyne,England,54.97,1.62,
Mar 11, 05:56:25,-4.1,16°,66° (ENE),Iridium 14,31 km (E),-5.4,-4°,Newcastle-on-Tyne,England,54.97,1.62,
Mar 11, 18:15:30,-6.6,58°,171° (S),Iridium 98,4 km (E),-8.2,-5°,Newcastle-on-Tyne,England,54.97,1.62,
Mar 12, 04:32:45,-6.5,23°,14° (NNE),Iridium 56,6 km (W),-6.7,-16°,Newcastle-on-Tyne,England,54.97,1.62,
Mar 12, 05:31:37,-0.1,12°,60° (ENE),Iridium 64,128 km (E),-5.2,-7°,Newcastle-on-Tyne,England,54.97,1.62,
Mar 12, 05:40:59,-5.1,14°,63° (ENE),Iridium 65,28 km (W),-5.3,-6°,Newcastle-on-Tyne,England,54.97,1.62,
Mar 12, 20:31:36,-1.8,13°,3° (N),Iridium 65,36 km (E),-6.1,-23°,Newcastle-on-Tyne,England,54.97,1.62,
Mar 13, 05:16:09,-4.9,10°,57° (ENE),Iridium 66,33 km (W),-5.1,-9°,Newcastle-on-Tyne,England,54.97,1.62,
Mar 13, 05:25:31,-0.8,12°,60° (ENE),Iridium 67,131 km (W),-5.2,-8°,Newcastle-on-Tyne,England,54.97,1.62,
Mar 7, 04:15:06,-2.3,33°,11° (NNE),Iridium 53,18 km (E),-7.3,-13°,Prague,Czech Republic,50.08,14.43,
Mar 7, 17:07:36,-3.9,55°,184° (S),Iridium 82,6 km (W),-9.0,-3°,Prague,Czech Republic,50.08,14.43,
Mar 7, 17:46:56,0.2,57°,165° (SSE),Iridium 15,37 km (W),-8.3,-9°,Prague,Czech Republic,50.08,14.43,
Mar 8, 04:09:16,-4.2,31°,11° (N),Iridium 54,10 km (E),-7.2,-14°,Prague,Czech Republic,50.08,14.43,
Mar 9, 04:03:16,-1.3,30°,10° (N),Iridium 83,27 km (W),-7.1,-15°,Prague,Czech Republic,50.08,14.43,
Mar 9, 17:34:14,0.4,56°,161° (SSE),Iridium 80,38 km (E),-8.3,-7°,Prague,Czech Republic,50.08,14.43,
Mar 10, 03:57:24,-6.0,28°,11° (N),Iridium 56,7 km (W),-7.0,-15°,Prague,Czech Republic,50.08,14.43,
Mar 10, 17:33:50,0.3,58°,174° (S),Iridium 15,37 km (W),-8.2,-6°,Prague,Czech Republic,50.08,14.43,
Mar 11, 19:42:02,0.3,10°,2° (N),Iridium 67,7 km (E),-5.9,-26°,Prague,Czech Republic,50.08,14.43,
Mar 12, 05:06:23,-4.9,13°,72° (ENE),Iridium 70,23 km (W),-5.0,-3°,Prague,Czech Republic,50.08,14.43,
Mar 12, 19:35:58,-0.2,10°,2° (N),Iridium 72,59 km (W),-5.9,-25°,Prague,Czech Republic,50.08,14.43,
Mar 13, 03:30:58,-0.5,19°,13° (NNE),Iridium 83,44 km (E),-6.4,-18°,Prague,Czech Republic,50.08,14.43,
Mar 7, 19:05:35,-1.9,35°,3° (N),Iridium 52,21 km (W),-7.5,-16°,Sydney,Australia,34.0,151.0,
Mar 8, 08:43:56,-2.9,52°,163° (SSE),Iridium 18,14 km (E),-8.2,-10°,Sydney,Australia,34.0,151.0,
Mar 8, 18:59:40,0.6,32°,2° (N),Iridium 10,45 km (W),-7.4,-16°,Sydney,Australia,34.0,151.0,
Mar 9, 18:53:47,-1.0,30°,3° (N),Iridium 13,28 km (W),-7.3,-17°,Sydney,Australia,34.0,151.0,
Mar 10, 10:17:25,-1.9,9°,8° (N),Iridium 68,8 km (W),-6.0,-29°,Sydney,Australia,34.0,151.0,
Mar 10, 18:47:54,-4.0,28°,4° (N),Iridium 50,11 km (W),-7.2,-18°,Sydney,Australia,34.0,151.0,
Mar 11, 08:30:45,-7.4,54°,172° (S),Iridium 18,4 km (W),-8.2,-7°,Sydney,Australia,34.0,151.0,
Mar 11, 10:10:40,-4.1,13°,9° (N),Iridium 75,13 km (E),-6.3,-28°,Sydney,Australia,34.0,151.0,
Mar 11, 18:42:02,-4.3,26°,4° (N),Iridium 53,11 km (W),-7.0,-19°,Sydney,Australia,34.0,151.0,
Mar 12, 10:04:00,-1.2,17°,10° (N),Iridium 14,30 km (E),-6.6,-26°,Sydney,Australia,34.0,151.0,
Mar 12, 18:36:15,-3.8,24°,5° (N),Iridium 54,13 km (W),-6.9,-20°,Sydney,Australia,34.0,151.0,
Mar 6, 18:15:13,-1.9,57°,170° (S),Iridium 39,18 km (W),-8.4,-7°,Edinburgh,Scotland,55.92,3.17,
Mar 7, 05:02:23,-1.3,33°,12° (NNE),Iridium 13,26 km (W),-7.3,-12°,Edinburgh,Scotland,55.92,3.17,
Mar 8, 04:56:27,-1.0,32°,12° (NNE),Iridium 50,28 km (W),-7.2,-13°,Edinburgh,Scotland,55.92,3.17,
Mar 8, 04:56:18,0.2,32°,11° (NNE),Iridium 90,41 km (W),-7.3,-13°,Edinburgh,Scotland,55.92,3.17,
Mar 9, 04:50:30,0.3,30°,12° (NNE),Iridium 53,45 km (W),-7.1,-13°,Edinburgh,Scotland,55.92,3.17,
Mar 9, 06:17:43,-5.5,21°,70° (ENE),Iridium 21,15 km (E),-5.8,-1°,Edinburgh,Scotland,55.92,3.17,
Mar 9, 18:19:03,0.7,59°,172° (S),Iridium 81,40 km (W),-8.3,-7°,Edinburgh,Scotland,55.92,3.17,
Mar 10, 04:35:42,0.8,25°,15° (NNE),Iridium 10,53 km (E),-6.7,-15°,Edinburgh,Scotland,55.92,3.17,
Mar 11, 04:29:48,-0.5,23°,15° (NNE),Iridium 13,38 km (E),-6.6,-15°,Edinburgh,Scotland,55.92,3.17,
Mar 11, 04:30:52,-2.1,24°,14° (NNE),Iridium 90,23 km (E),-6.8,-15°,Edinburgh,Scotland,55.92,3.17,
Mar 11, 05:46:56,-4.7,16°,64° (ENE),Iridium 62,27 km (E),-5.5,-5°,Edinburgh,Scotland,55.92,3.17,
Mar 11, 20:38:40,-0.7,9°,3° (N),Iridium 62,92 km (E),-5.8,-24°,Edinburgh,Scotland,55.92,3.17,
Mar 12, 04:23:54,-2.7,22°,15° (NNE),Iridium 50,20 km (E),-6.6,-16°,Edinburgh,Scotland,55.92,3.17,
Mar 12, 05:22:06,-0.2,12°,58° (ENE),Iridium 14,124 km (E),-5.2,-8°,Edinburgh,Scotland,55.92,3.17,
Mar 12, 05:31:28,-5.3,14°,61° (ENE),Iridium 64,6 km (W),-5.3,-6°,Edinburgh,Scotland,55.92,3.17,
Mar 12, 20:32:18,-3.5,11°,2° (N),Iridium 65,24 km (W),-5.9,-23°,Edinburgh,Scotland,55.92,3.17,
Mar 13, 04:17:58,-3.4,21°,14° (NNE),Iridium 53,18 km (W),-6.5,-16°,Edinburgh,Scotland,55.92,3.17,
Mar 13, 05:06:38,-5.1,11°,56° (NE),Iridium 65,11 km (W),-5.1,-9°,Edinburgh,Scotland,55.92,3.17,
Mar 13, 05:16:01,-0.1,12°,58° (ENE),Iridium 66,167 km (W),-5.2,-8°,Edinburgh,Scotland,55.92,3.17,
Mar 10, 04:46:01,0.7,41°,5° (N),Iridium 40,31 km (W),-9.3,-11°,Milan,Italy,45.45,9.17,
Mar 11, 19:49:30,0.4,12°,5° (N),Iridium 68,70 km (E),-6.1,-26°,Milan,Italy,45.45,9.17,
Mar 12, 04:02:43,-5.0,23°,10° (N),Iridium 83,9 km (E),-6.7,-18°,Milan,Italy,45.45,9.17,
Mar 12, 04:31:49,-6.1,37°,10° (N),Iridium 40,7 km (E),-8.9,-13°,Milan,Italy,45.45,9.17,
Mar 12, 19:42:56,0.5,15°,6° (N),Iridium 75,55 km (E),-6.3,-25°,Milan,Italy,45.45,9.17,
Mar 13, 03:56:58,-2.2,20°,11° (N),Iridium 56,24 km (E),-6.6,-19°,Milan,Italy,45.45,9.17,
Mar 6, 22:13:48,0.2,43°,349° (NNW),Iridium 83,40 km (W),-7.9,-15°,Singapore,Singapore,1.23,103.92,
Mar 7, 22:07:50,-0.6,42°,353° (N),Iridium 56,30 km (E),-7.9,-17°,Singapore,Singapore,1.23,103.92,
Mar 8, 22:01:48,-4.9,40°,350° (N),Iridium 84,8 km (E),-7.8,-18°,Singapore,Singapore,1.23,103.92,
Mar 11, 11:49:01,-7.9,49°,176° (S),Iridium 98,1 km (E),-8.0,-9°,Singapore,Singapore,1.23,103.92,
Mar 6, 22:47:30,0.1,39°,354° (N),Iridium 90,37 km (W),-7.8,-16°,Rangoon,Myanmar,16.83,96.0,
Mar 7, 22:39:48,-1.7,37°,358° (N),Iridium 84,21 km (E),-7.6,-17°,Rangoon,Myanmar,16.83,96.0,
Mar 9, 22:27:58,0.7,33°,359° (N),Iridium 86,46 km (E),-7.5,-20°,Rangoon,Myanmar,16.83,96.0,
Mar 11, 12:14:13,-2.2,51°,172° (S),Iridium 81,17 km (E),-8.1,-8°,Rangoon,Myanmar,16.83,96.0,
Mar 10, 04:26:08,-1.6,26°,14° (NNE),Iridium 84,25 km (E),-6.8,-15°,Belfast,Northern Ireland,54.62,5.93,
Mar 11, 04:20:13,-4.2,24°,14° (NNE),Iridium 12,12 km (E),-6.7,-15°,Belfast,Northern Ireland,54.62,5.93,
Mar 11, 20:29:16,0.4,9°,2° (N),Iridium 70,109 km (E),-5.7,-25°,Belfast,Northern Ireland,54.62,5.93,
Mar 12, 04:14:17,0.0,23°,13° (NNE),Iridium 86,47 km (W),-6.7,-16°,Belfast,Northern Ireland,54.62,5.93,
Mar 12, 05:13:27,0.4,12°,60° (ENE),Iridium 62,154 km (E),-5.1,-7°,Belfast,Northern Ireland,54.62,5.93,
Mar 12, 05:22:48,-5.0,13°,63° (ENE),Iridium 14,27 km (E),-5.2,-6°,Belfast,Northern Ireland,54.62,5.93,
Mar 12, 20:13:10,-0.5,13°,3° (N),Iridium 14,54 km (E),-6.1,-23°,Belfast,Northern Ireland,54.62,5.93,
Mar 12, 20:23:14,0.4,9°,2° (N),Iridium 64,88 km (W),-5.7,-24°,Belfast,Northern Ireland,54.62,5.93,
Mar 13, 04:08:25,-1.7,21°,14° (NNE),Iridium 52,30 km (W),-6.5,-16°,Belfast,Northern Ireland,54.62,5.93,
Mar 13, 05:07:20,-1.5,12°,60° (ENE),Iridium 65,107 km (W),-5.1,-8°,Belfast,Northern Ireland,54.62,5.93,
Mar 10, 20:22:29,0.6,8°,4° (N),Iridium 68,194 km (W),-5.8,-28°,Barcelona,Spain,41.38,2.15,
Mar 11, 20:16:17,-2.6,9°,5° (N),Iridium 75,27 km (W),-5.9,-27°,Barcelona,Spain,41.38,2.15,
Mar 12, 20:09:22,0.1,14°,5° (N),Iridium 14,45 km (W),-6.2,-26°,Barcelona,Spain,41.38,2.15,
Mar 13, 04:23:14,-1.1,20°,10° (N),Iridium 84,34 km (E),-6.5,-20°,Barcelona,Spain,41.38,2.15,
Mar 6, 11:15:52,0.2,51°,164° (SSE),Iridium 41,39 km (W),-8.1,-13°,Perth,Australia,31.95,115.87,
Mar 7, 11:11:34,0.6,52°,167° (SSE),Iridium 15,41 km (W),-8.2,-12°,Perth,Australia,31.95,115.87,
Mar 8, 21:16:12,0.0,32°,5° (N),Iridium 83,37 km (E),-7.3,-18°,Perth,Australia,31.95,115.87,
Mar 9, 12:39:55,0.6,9°,9° (N),Iridium 21,400 km (W),-6.0,-30°,Perth,Australia,31.95,115.87,
